Histoire: Qui a découvert l'Amérique?;Christophe Colomb;Jules César;Emmanuel Macron;Batman;Christophe Colomb
Histoire: Qui etait Simo Häyhä?;Un cuisinier suisse;Un policier Allemand;Un sniper finlandais;Un aviateur russe;Un sniper finlandais
Histoire: Quel homme à marché sur la lune ?;Bryan Cranston;Neil Armstrong;Benjamin Franklin;Bruce Wayne;Neil Armstrong
Histoire: Qui a dit Veni Vidi Vici?;César;Caligula;Néron;La Fouine;César
Histoire: Qui aurait eu cette idée folle un jour d’inventer l’école?;Charlemagne;Jules César;Albert Einstein;Le Joker;Charlemagne
Géographie: Quel est la capitale de la France?;Marseille;Villeneuve d’Ascq;Paris;Gotham;Paris
Géographie: Dans quel continent se situe la France ?;L’Afrique;L’Europe;L’Asie;L’Océanie;L’Europe
Géographie: Quel animal est sur le drapeau du pays de galle?;Un Dragon;Un Chien;Une Licorne;Un Aigle;Un Dragon
Science: Quel appareil utilise la force du vent pour créer de l’électricité?;Panneau solaire;Turbine au gaz;Un barrage;Une éolienne;Une éolienne
Science: Comment appelle t'on un matériau qui conduit l'électricité?;Un transmetteur;Un conducteur;Un directeur;Un émetteur;Un conducteur
Science: Quel planéte est la plus proche du soleil ?;Mars;Venus;Mercure;Krypton;Mercure
Animaux: Quel animal terrestre est le plus rapide ?;Le guépard;Le tigre;Le renard;Le lion;Le guépard
Animaux: Quel oiseau met sa tête dans le sol ?;L'autruche;L'oie;La poule;Le pingouin;L'autruche
Animaux: Comment appelle t'on les moustache d'un chat ?;Les varisses;Les venisses;Les vibrisses;Les volisses;Les vibrisses
Animaux: Lequel de ces animaux n'est pas un mammifére ?;Le chien;Le chat;Le lapin;L'orque;L'orque
Français: Quel mot n'existe pas?;Diégése;Lunule;Marabout;Biolage;Biolage
Français: A quel temps est la phrase : je mangeai une pomme?;Présent;Passé simple;Passé composé;Futur de l’indicatif;Passé simple
Français: Quel temps n'existe pas ?;Le subjonctif;Le gérondif;L'indicatif;L'exotif;L'exotif
Culture G: Dans Tintin, comment s'appelle le professeur?;Professeur Tulipe;Professeur Tournesol;Professeur Paquerette;Professeur Delecroix;Professeur Tournesol
Culture G: Quel héro peut tisser des toiles ?;Spiderman;Superman;Batman;Norman;Spiderman
Culture G: Qui chante "Monsieur Djuna les papiers du véhicule" ?;Diams;Black M;GIMS;Hippolyte;GIMS
Culture G: Quel célébre gaulois est toujours accompagné de son gros collégue ?;Panoramix;Astérix;Béllorix;Filmeuhix;Astérix
Anglais: Comment dit t'on “Un chien” en anglais ?;A tree;A Fly;I am vengeance;A dog;A dog
Anglais: Quel est la forme pluriel de Be au présent?;am;is;are;were;are
Anglais: Comment dit t'on "Une maison" en anglais ?;A House;A Mouse;A Hose;A Hoof;A House
Jeux Vidéo: Dans quel jeu de 2006 créé par Ankama peut on retrouvé des Iop, des cra ou des sram ?;Pokemon;Minecraft;Fortnite;Dofus;Dofus
Jeux Vidéo: Comment s'appelle le puissant dragon qui cause les évenements de Skyrim;Spyro;Mushu;Alduin;Théo Vienne;Alduin
Jeux Vidéo: Qui a inventé Steam et Valve ?;Gabe Newell;Alan Turing;Enzo Lamour;Anthony Roux;Gabe Newell
Nourriture: Quel fruit est aussi un légume ?;La fraise;L'ananas;La tomate;Le navet;La tomate
Nourriture: Combien de fruits doit on manger par jour?;Aucun c'est nul les fruits;Un seul sinon on explose;5 de maniére équilibré;Au moins mille milliards;5 de maniére équilibré
Nourriture: Quel condiment est connu pour faire fuir les vampires et ceux à qui on parle de trop prés;L'ail;L'oignon;Le piment;Le sel;L'ail
Nourriture: Quel piment est le plus fort du monde ?;Le Carolina Reaper;Le kamero alika;Le Poivron Zntier;Le Piment Oiseau;Le Carolina Reaper
